iteration: 5593
total_loss: 1324.13378906
value_loss: 662.08007812
action_loss: 662.05371094
best_loss: 842.07751465
best_idx: 2592
improvement_counter: 3001
training_reward_count: 5594
training_rewards:
  iteration: 46 | eps_b: 0 | mean_reward: -9.93031025 | std_reward: 9.86470699 | agent_mean_rewards: [ -9.920725, -10.15774 , -10.1065  ,  -9.345861, -10.120725]
  iteration: 47 | eps_b: 0 | mean_reward: -9.39862347 | std_reward: 9.61571980 | agent_mean_rewards: [ -9.52526 , -10.100277,  -9.484825,  -8.713379,  -9.169374]
  iteration: 48 | eps_b: 0 | mean_reward: -9.54737091 | std_reward: 9.94041920 | agent_mean_rewards: [ -9.663077,  -9.564467,  -8.802544, -10.068651,  -9.638116]
  iteration: 49 | eps_b: 0 | mean_reward: -8.92798615 | std_reward: 8.59463120 | agent_mean_rewards: [ -9.106472,  -8.657655, -10.486387,  -8.182245,  -8.207169]
  iteration: 50 | eps_b: 0 | mean_reward: -9.97233772 | std_reward: 10.02456951 | agent_mean_rewards: [-11.159413,  -8.749842,  -9.987407, -10.290211,  -9.674813]
  iteration: 51 | eps_b: 0 | mean_reward: -8.98831940 | std_reward: 8.90382481 | agent_mean_rewards: [-9.895905, -8.403349, -8.788675, -8.599933, -9.253738]
  iteration: 52 | eps_b: 0 | mean_reward: -9.17019749 | std_reward: 9.62929249 | agent_mean_rewards: [ -8.975418, -10.220898,  -8.003983,  -9.284899,  -9.365789]
  iteration: 53 | eps_b: 0 | mean_reward: -9.39206696 | std_reward: 9.43065357 | agent_mean_rewards: [-10.136581,  -9.239083,  -9.842744,  -9.656271,  -8.085653]
  iteration: 54 | eps_b: 0 | mean_reward: -9.89203548 | std_reward: 10.40649223 | agent_mean_rewards: [-10.488773,  -9.257605,  -8.351776, -10.85578 , -10.506245]
  iteration: 55 | eps_b: 0 | mean_reward: -9.21170998 | std_reward: 8.75819397 | agent_mean_rewards: [-9.001926, -9.454791, -9.317951, -8.368834, -9.915049]
  iteration: 56 | eps_b: 0 | mean_reward: -9.32020760 | std_reward: 9.52010632 | agent_mean_rewards: [ -9.998873, -10.198108,  -8.911036,  -8.523407,  -8.969612]
  iteration: 57 | eps_b: 0 | mean_reward: -9.61629295 | std_reward: 10.83991241 | agent_mean_rewards: [-10.717278,  -9.348451,  -8.788119,  -9.474394,  -9.753218]
  iteration: 58 | eps_b: 0 | mean_reward: -9.83810520 | std_reward: 9.60439587 | agent_mean_rewards: [-10.766168,  -9.5781  ,  -8.511326, -10.178918, -10.156012]
  iteration: 59 | eps_b: 0 | mean_reward: -9.15706158 | std_reward: 9.67361164 | agent_mean_rewards: [ -8.234301,  -8.82889 ,  -9.288523, -10.276801,  -9.156798]
  iteration: 60 | eps_b: 0 | mean_reward: -9.01844501 | std_reward: 9.98383999 | agent_mean_rewards: [ -9.15766 ,  -8.913576,  -9.122054,  -7.743467, -10.155466]
  iteration: 61 | eps_b: 0 | mean_reward: -10.25644875 | std_reward: 11.84595394 | agent_mean_rewards: [ -9.10513 , -11.348117, -10.396587,  -9.456487, -10.975924]
  iteration: 62 | eps_b: 0 | mean_reward: -9.06914425 | std_reward: 10.33872318 | agent_mean_rewards: [-8.896189, -9.552418, -8.361097, -8.819131, -9.716883]
  iteration: 63 | eps_b: 0 | mean_reward: -9.19472694 | std_reward: 9.46594906 | agent_mean_rewards: [ -9.187012,  -8.286213, -10.143932,  -9.460099,  -8.896375]
  iteration: 64 | eps_b: 0 | mean_reward: -9.58344650 | std_reward: 10.44517040 | agent_mean_rewards: [-11.790389,  -9.279432,  -9.229761,  -8.412893,  -9.204755]
  iteration: 65 | eps_b: 0 | mean_reward: -9.69638920 | std_reward: 9.91245651 | agent_mean_rewards: [-10.483453,  -9.360746,  -8.859076, -10.283924,  -9.494748]
  iteration: 66 | eps_b: 0 | mean_reward: -9.46717262 | std_reward: 9.64606380 | agent_mean_rewards: [-9.515867, -8.395867, -9.916253, -9.910463, -9.597409]
  iteration: 67 | eps_b: 0 | mean_reward: -10.14612579 | std_reward: 9.89281750 | agent_mean_rewards: [ -9.593938, -10.41394 , -11.688871,  -8.929614, -10.104265]
  iteration: 68 | eps_b: 0 | mean_reward: -8.95454216 | std_reward: 9.32476044 | agent_mean_rewards: [-8.758617, -9.820007, -9.119298, -9.258099, -7.816689]
  iteration: 69 | eps_b: 0 | mean_reward: -9.71863842 | std_reward: 10.11016750 | agent_mean_rewards: [-10.091316, -11.247726,  -9.805376,  -7.83934 ,  -9.609436]
  iteration: 70 | eps_b: 0 | mean_reward: -9.69417953 | std_reward: 10.98258686 | agent_mean_rewards: [ -9.066554,  -8.581084, -11.522861, -10.519124,  -8.781272]
  iteration: 71 | eps_b: 0 | mean_reward: -9.86981869 | std_reward: 10.35727406 | agent_mean_rewards: [ -9.808628,  -8.843794,  -9.862025, -11.478362,  -9.356284]
  iteration: 72 | eps_b: 0 | mean_reward: -9.15458679 | std_reward: 9.57270432 | agent_mean_rewards: [ -8.753078,  -8.590218, -11.437022,  -9.708958,  -7.283656]
  iteration: 73 | eps_b: 0 | mean_reward: -9.86234188 | std_reward: 9.98433590 | agent_mean_rewards: [ -9.570165, -11.115184, -10.043429,  -9.325038,  -9.257888]
  iteration: 74 | eps_b: 0 | mean_reward: -9.62176037 | std_reward: 9.41618919 | agent_mean_rewards: [ -8.973413, -10.198669, -10.135988,  -9.369429,  -9.431303]
  iteration: 75 | eps_b: 0 | mean_reward: -9.41382980 | std_reward: 9.28721619 | agent_mean_rewards: [-10.283399,  -9.204544,  -7.661617, -10.570635,  -9.348953]
  iteration: 76 | eps_b: 0 | mean_reward: -9.66211414 | std_reward: 9.70099926 | agent_mean_rewards: [ -9.920218,  -8.777182, -10.644501, -10.129805,  -8.838864]
